drug,disease
C1 esterase inhibitor (human),Hereditary Angioedema
abacavir,"HIV Infection, Nonoccupational Exposure, Nonoccupational Exposure, Occupational Exposure, Occupational Exposure"
abatacept,Juvenile Idiopathic Arthritis
abciximab,High Risk Percutaneous Transluminal Angioplasty
abiraterone,Prostate Cancer
abobotulinumtoxinA,"Facial Wrinkles, Cervical Dystonia (Spasmodic Torticollis), Lower Limb Spasticity, Upper Limb Spasticity"
acalabrutinib,Mantle Cell Lymphoma
acamprosate,Alcohol Dependence
acarbose,Dumping Syndrome
acebutolol,"Premature Ventricular Depolarizations, Ventricular Tachycardia, Ventricular Arrhythmia"
acetaminophen,"Muscle Pain, Rheumatoid Arthritis, Back Pain, Chiari Malformation, Cough, Chronic Pain, Cold Symptoms, Dengue Fever, Eustachian Tube Dysfunction, Fever, Influenza, Influenza, Influenza, Influenza, Influenza, Headache, Headache, Headache, Neck Pain, Pain, Pain, Pain, Pain/Fever, Pain/Fever, Pain/Fever, Plantar Fasciitis, Premenstrual Dysphoric Disorder, Premenstrual Syndrome, Premenstrual Syndrome, Premenstrual Syndrome, Rhinorrhea, Rhinorrhea, Rhinorrhea, Sciatica, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms, Transverse Myelitis"
acetazolamide,"Edema, Pseudotumor Cerebri, Glaucoma, Hydrocephalus, Hypokalemic Periodic Paralysis, Mountain Sickness / Altitude Sickness, Seizure Prevention (Seizure Prophylaxis)"
acetic acid,"Bacterial Vaginitis, Otitis Externa, Otitis Externa, Otitis Externa, Head Lice, Wound Cleansing (Wound Debridement)"
acetylcholine,Production of Miosis
acetylcysteine,"Acetaminophen Overdose, Diagnostic Bronchograms, Expectoration (Mucolysis)"
acitretin,"Psoriasis, Pityriasis rubra pilaris"
aclidinium,COPD
acyclovir,"Varicella-Zoster, Cold Sores (Herpes Simplex Labialis), Cold Sores (Herpes Simplex Labialis), Herpes Simplex - Congenital, Herpetic Keratitis, Mononucleosis, Infectious Mononucleosis, Ramsay Hunt Syndrome, Herpes Simplex, Herpes Simplex Encephalitis, Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoster"
adalimumab,"Ankylosing Spondylitis, Reiter's Syndrome, Behcet's Disease, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Psoriasis, Hidradenitis Suppurativa, Juvenile Idiopathic Arthritis, Plaque Psoriasis, Psoriatic Arthritis, Sarcoidosis, Spondyloarthritis"
adapalene,Acne
adefovir,Hepatitis B
adenosine,"Atrial Tachycardia, Radionuclide Myocardial Perfusion Study, Supraventricular Tachycardia, Wolff-Parkinson-White Syndrome"
adenovirus vaccine,Adenovirus Prophylaxis
afamelanotide,Prevention of Phototoxicity in Erythropoietic Protoporphyria
aflibercept,"Diabetic Macular Edema, Diabetic Retinopathy, Macular Degeneration, Macular Edema"
agalsidase beta,Fabry Disease
albendazole,"Hookworm Infection (Necator or Ancylostoma), Cutaneous Larva Migrans, Ascariasis, Capillariasis, Liver Fluke (Clornorchis sinensis), Cysticercus cellulosae, Echinococcus, Enterocolitis, Filariasis, Elephantiasis, Giardiasis, Gnathostomiasis, Hydatid Disease, Whipworm Infection, Loiasis, Microsporidiosis, Neurocysticercosis, Pinworm Infection (Enterobius vermicularis), Strongyloidiasis, Trichinosis, Trichostrongylosis, Visceral Larva Migrans, Toxicariasis"
